match_id,input_row,output_row,input_exp,output_exp,input_local_roi,output_local_roi,distance,input_x,input_y,output_x,output_y,correlation,hexanoic acid,isobutyric acid,nonanoic acid,valeric acid,1-heptanol,1-nonanol,2-methyl-2-butanol,cyclohexanol,2-phenylpropionaldehyde,benzaldehyde,octanal,valeraldehyde,"1,2-dimethoxybenzene","1,4-cineole",2-methoxy-4-methylphenol,4-allylanisole,alpha-terpinene,cineole,eugenol,guaiacol,r-(+)-limonene,benzyl acetate,cis-3-hexenyl tiglate,ethyl acetate,ethyl butyrate,ethyl caproate,ethyl heptanoate,ethyl tiglate,ethyl valerate,geranyl acetate,isoamyl acetate,methyl benzoate,methyl butyrate,methyl salicylate,methyl valerate,propyl acetate,(+)-fenchone,"2,4-dimethyl acetophenone",2-heptanone,2-hexanone,2-hydroxy acetophenone,2-nonanone,4-methyl acetophenone,4-phenyl-2-butanone,acetophenone,menthone,s-(+)-carvone,mineral oil
0,7,110,C592,C525,7,0,0.0,0.0,0.0,0.0,0.0,0.6964826870109336,14.887399207627098,4.350501728483315,7.450531505187088,18.86219747032375,20.347158190190715,37.984474625485724,29.69746524000139,48.03689377253428,24.578419671910844,9.570307841275012,13.99433645075077,53.20601037897195,22.397458219027666,13.597939163009844,22.958709089988815,17.117891819860013,12.267121324597275,7.361646064973195,5.916318269605411,12.841867979926533,4.92992806138855,13.519361172950388,18.072882094720175,75.61450378817713,41.96738651491051,29.186633163916913,17.380101112186473,67.88927388170046,55.85167069842706,18.901886925269647,29.350857094782768,35.36247949299105,25.31268885957724,21.507317874456504,49.08594242324424,49.411333776187014,12.115198768166048,6.256583821098275,61.380647747435404,77.6540779324498,32.01731220605464,23.964008648197137,3.5196762825123127,8.53403910450196,18.683058706697054,30.92516008468146,31.16058772508634,5.685855604963382
1,2,113,C592,C525,2,3,11.258303849032563,-198.7043347028512,-32.24161554236905,-200.11720907862394,-43.41091236694248,0.6730078936376663,3.0137377092151256,2.5089281544175543,2.9877078163338155,1.6806070876178925,1.9177646116488616,0.6382977896897949,241.60119006617316,-8.46795472209555,2.9839493867392295,-3.943466953079412,2.5614102196959223,39.00002532316548,2.0221193904166146,16.723759275874613,6.880288066076067,2.782777283879041,5.500824506908121,8.502290871162751,-1.3788890792015598,6.017861788729215,1.536723574175961,4.649145120298294,0.380099628264387,108.31502012949248,71.06063514743296,10.511551315473307,0.6411334809900453,11.201571124996164,55.264220762490936,1.9918961926392489,20.463815455998986,3.665158735548416,120.13962428147325,-0.34176724674282466,133.9082490645199,88.35957789440968,8.48840634678098,3.4685667219624183,49.40808862119215,99.78039884985006,4.9286145906378405,8.734253631151402,-0.365869529491645,5.1900712496534505,1.7164442134314146,5.647195957919809,1.1461305208139203,1.8191201959010295
2,51,111,C598,C525,15,1,8.498909851902651,-78.69792219302374,-38.55057499938022,-87.15390240042905,-39.40372645295554,0.588917549779269,5.591892559436159,6.628891726337522,10.239878635936865,12.679068329496927,7.5337760082471465,9.98970171700919,21.087701732499927,36.090636192846894,2.3203483289395948,0.18081444091693535,10.537877955766703,26.072124277132676,4.365123488127449,18.980576606111022,11.701977775752253,16.170087957435083,12.931996670793016,2.7976715573149153,1.3058171342238627,16.718951331754585,6.34125254807891,8.823230408112101,30.166581350395695,70.34626219150537,29.067062513473438,12.804364349674811,10.579422541908789,25.214539525797353,14.16325727021444,15.700518000209595,17.48833967541804,8.660041540457433,31.521575406901228,12.755070215906951,20.347677087214613,39.22395760783883,40.64582858501759,1.18236172836422,23.75248723896392,52.523105124433194,9.314938221744482,8.981491516456954,9.145002994469454,13.643657498143682,17.849035310069514,12.562874277184683,10.504389715000686,2.679813977522234
3,8,114,C592,C525,8,4,19.19619196624993,-155.50051571861235,96.12604938491779,-145.4603681442524,79.76483846731782,0.5878934746923073,5.638259279618437,5.241789879117449,5.421352487438138,6.6474243642504085,1.1240944945047053,3.2729546740738407,29.770888570030518,3.893111034172169,4.612657405441083,0.6103284933006914,4.420149238483168,55.990838289140186,0.11013457235299877,34.62629179436225,12.466429347192062,12.381996150092057,20.053383223256425,19.436083174438046,3.0041985592315625,12.984189225130908,4.683266145426089,4.054127291839488,0.7489869952771567,67.73903620240253,58.109725528711266,28.128813005911805,9.864369846859823,17.40289216125552,51.411518378575316,4.139971885534096,89.34191546012192,13.268822591658221,92.52326034612533,7.653832742328802,73.8480120062562,72.42486969561054,22.49101340116506,1.9907082599249348,96.24332424363037,87.91702837615165,2.3284620432227636,8.324184333326201,1.258358536304597,11.297995090694856,3.738625242305208,9.148042971675308,7.821343061778227,4.2795640773878265
4,65,148,C598,C531,29,18,15.476135592988877,172.74604008516945,43.354744106029756,159.48080495356038,51.326212590299235,0.5568595566612476,2.1623050740890886,2.2755102007541903,18.14066318611771,7.558018700205191,-1.391222375101566,8.985131208421441,182.0764522350177,40.47953948183331,3.5351904136692203,-2.0808942394050285,8.916009290839414,33.81360166209543,9.256801198514166,14.384053867545639,36.31184415073404,39.79905065087269,9.393126671352745,7.928397312971064,6.061929333061572,5.483709373739301,9.612386383690966,3.7214681771827465,32.88283520926857,162.99429579011235,59.893881183746856,119.08051594094374,105.5292316002608,9.670470154875995,62.63399051357545,10.810746713618608,39.328801842836356,18.976688805845974,83.37699813073945,34.141226402125845,29.18292098426038,68.28612144706831,92.45326706023974,1.6366258452211089,43.60862876251707,244.11498013424256,16.5064325349783,19.37434117006392,4.558276247428086,4.996169740864508,-1.7072110062371493,17.007333904779284,12.832528972129632,4.2326423014778
5,59,0,C598,C444,23,0,0.0,0.0,0.0,0.0,0.0,0.5304427376798889,11.626908460151501,8.32925027016724,10.748474495955753,13.23431935072734,17.963188071147908,18.94948154401912,34.46189047709011,25.65417091764138,4.812672751872019,3.0617799407935467,8.258799214444398,69.19028646905575,12.042931486512284,8.703732126594753,15.813398541017134,36.788742934411836,31.447529640695024,3.0493761659967165,2.0909990707853776,8.395275026808456,8.423150919315995,15.03779123832491,18.981229157195383,136.6836880766933,53.36176147328995,9.411486694982743,16.0738135867895,49.57083704518092,45.44185906837781,21.031521017385785,43.18455909621787,11.069823534244199,69.95155511595487,8.11704813500196,45.04267368921212,87.88951672437034,30.231417477648847,3.0860165587538053,47.81746938807287,85.05754836050139,16.233535462275338,23.290541310946825,12.137854882133583,14.211158747241496,20.529422442164094,25.161609911953708,6.504454690369673,3.176786859589999
6,45,97,C598,C519,9,3,22.1145736174158,168.61717852314973,-134.74650219668808,146.66498231430015,-137.4214690914875,0.5114003388160379,0.9047861374462137,0.8409546804330894,15.783581146650738,0.7797132943466173,101.50790538896779,0.09695710560631805,269.6748681016943,158.18437260760103,1.7262180219960874,-1.900375010396665,5.61492340127151,177.59251226065692,1.0968199205133797,10.03095468306174,32.93539779068794,25.97426457772952,38.19085252254607,1.2129800432460902,-1.9222295638479558,2.0495350966287065,50.19140563731514,7.23923189553204,4.8780279129321045,324.6030049607921,267.6061682656537,333.2679053707685,75.23860082120845,30.4392700220659,195.96440741044435,41.11519024580777,132.87201772833566,10.731773098479515,233.76139172916106,1.9520674663592055,189.75650721418006,325.0774681120648,124.50490260786077,-0.6154431750444425,113.05528115236466,307.68735431944447,6.501488373701149,0.937679205625578,18.624985620375842,5.291459394199624,23.1595921287323,10.803829261675931,11.786883891423246,3.6237884959672866
7,0,39,C592,C470,0,9,22.599581539833014,-138.1886813798909,-19.4377792317936,-122.18190476190478,-3.4839650145772794,0.45356207180003566,120.56170618743694,90.67689313529766,254.70289381246212,294.60115035184333,121.22362635517756,118.20092311544224,142.86827485104774,117.89939796482152,129.42202465942864,56.86259300262124,184.27806726795546,286.780804849236,82.0842015567431,124.11949783838325,208.8948827612213,230.7628519687451,140.50781598573639,129.08140363007834,84.13674328264528,73.1704094258887,156.53730421743407,134.43037757350874,203.22368177083487,215.24602916710228,170.07704060967637,274.0196406625425,212.6781951604021,288.4585812583509,261.60432532219755,194.25805017258196,232.1025259015595,312.0271487358926,228.30002882580553,150.48135643185287,321.14698658275734,215.39726263681197,189.04213467995004,100.48820023334743,324.02136922500654,199.10734094030715,164.95736467401537,235.18797103593025,83.36943585964794,272.1126041901102,150.30730747031077,230.29862910188993,161.79078813018458,153.30345258157206
8,35,159,C592,C537,35,9,16.342216938174982,14.028353075545681,129.8358897289428,-1.8711023512127554,126.05761345703056,0.4266329248123672,0.07780380704153843,-0.05940818628741197,-2.0814911507381804,-0.5513315747465534,-0.556702136637395,0.7890031540729442,2.469119213982568,3.7430527737926442,3.628335060553682,-2.8270570890861983,1.4414863640345577,4.060437785147635,1.7855636433215636,1.5705944319197462,3.7758050150508677,2.641690067352706,0.20750500594796814,-0.44615403731610564,2.695428799391319,-0.44564555624863633,0.4074582171608697,2.454134428129104,2.972478666217451,3.394156553783988,7.297807500211892,0.0525101664901715,1.0228595777116272,3.3255234737211374,6.487068465072441,0.346214246807993,7.424785936939824,3.1207360338784014,10.342964985918417,3.1164831538231637,10.806682278377675,4.8585665690788105,4.018936496490255,3.1389520393076515,7.156285241480422,8.113968034694837,3.3285128050634563,0.3488798856478933,-0.6166584892309744,1.1186716695146215,6.219574429291438,-0.18214286539775165,0.14272932110638228,2.4759400869768
9,3,33,C592,C470,3,3,7.708950702525724,-83.43454999959908,64.80887424807705,-83.26843467011645,72.51603498542272,0.4192862400055608,4.434565155663375,5.598336860137484,11.67503510398022,11.603364220670372,6.887997157825782,1.710025431247351,17.62047013131562,8.783168708039582,7.122068393011696,-1.6205765337395803,15.132969754591846,169.32110146513563,5.110264448293128,11.816666739003349,26.58717515477933,14.298877813594688,5.300065158411127,7.774841211837724,1.2615749373135152,5.575489675573397,12.08028610594255,3.6159057616333428,11.353300475346801,163.72866725487876,113.43083042425354,33.288453652447274,10.122088697421818,120.47495671840468,66.29187699253458,1.367447670055496,137.651637942075,12.12969895267168,96.31361856598933,11.523877066377738,115.78603911530023,149.10626939923432,66.6551687675241,7.676508218280797,98.1399310115287,169.5243421261031,7.566826912823084,12.980838455432476,2.6639973870409914,9.765033952028281,3.7656114816138664,20.794845133660786,6.193637403090552,7.925806632948944
