match_id,input_row,output_row,input_exp,output_exp,input_local_roi,output_local_roi,distance,input_x,input_y,output_x,output_y,correlation,hexanoic acid,isobutyric acid,nonanoic acid,valeric acid,1-heptanol,1-nonanol,2-methyl-2-butanol,cyclohexanol,2-phenylpropionaldehyde,benzaldehyde,octanal,valeraldehyde,"1,2-dimethoxybenzene","1,4-cineole",2-methoxy-4-methylphenol,4-allylanisole,alpha-terpinene,cineole,eugenol,guaiacol,r-(+)-limonene,benzyl acetate,cis-3-hexenyl tiglate,ethyl acetate,ethyl butyrate,ethyl caproate,ethyl heptanoate,ethyl tiglate,ethyl valerate,geranyl acetate,isoamyl acetate,methyl benzoate,methyl butyrate,methyl salicylate,methyl valerate,propyl acetate,(+)-fenchone,"2,4-dimethyl acetophenone",2-heptanone,2-hexanone,2-hydroxy acetophenone,2-nonanone,4-methyl acetophenone,4-phenyl-2-butanone,acetophenone,menthone,s-(+)-carvone,mineral oil
1,7,110,C592,C525,7,0,0.0,263.6017003188098,124.99553666312434,327.4603681442524,262.2351615326822,0.6964826870109336,0.10152810022732327,0.09418828842860817,0.14884354326288893,0.10057324485122436,0.0843190106113253,0.15018741739026772,0.0717218016036953,0.1152922458873254,0.17010501473416473,0.102148664760886,0.08135853724765289,0.08190244556895783,0.1863793061222854,0.0,0.1279643918611412,0.04220362226928076,0.02209598363616366,0.28460547306685824,0.025856519918741026,0.07348919162020352,0.006899598642910894,0.12062400284804867,0.12800069006510803,0.5340380205647395,0.33160159210047097,0.13278106415973703,0.016755915139426016,0.5954906271589474,0.19509230257807564,0.11530112820719363,0.05888672679291979,0.20338850979642437,0.30466308334582676,0.44262768906594546,0.3294152345394275,0.350065919711744,0.10864390952855722,0.03363214183522444,1.0,0.8461820280708126,0.4634024248733557,0.14898703061062146,0.30065017296507446,0.03611318720813533,0.16122665174954098,0.3793186212029184,0.05858933479328105,0.1056958961901574
2,2,113,C592,C525,2,3,11.258303849032563,64.89736561595858,92.7539211207553,127.34315906562847,218.8242491657397,0.6730078936376663,0.19120505312279018,0.13026871696878198,0.16328440599975633,0.1762276505282617,0.1733816465967011,0.12685072145218704,1.0,0.24670684726956207,0.023501111179117604,0.13619602345687037,0.1963074899156144,0.1422979812685268,0.11112416644851959,0.7690233115458857,0.20156110084522544,0.09125759590666102,0.6848449208564543,0.4542233828283783,0.0752522602978245,0.1934653683661465,0.36806085629858787,0.1612568593943894,0.20205593340891442,0.41763744377411766,0.5175934883821894,0.26883929474016444,0.12155518969779154,0.2738324931408665,0.2724906656024574,0.32109707948870614,0.22232747806440603,0.07141795212611295,0.5053974651065098,0.11496814032793919,0.23997946744089305,0.44476736714544385,0.0,0.17015739425825036,0.3309435191897243,0.5499164741841939,0.13122627957409722,0.10511166531513881,0.24052935250959012,0.2006030987365229,0.16214721489207232,0.07666363320402546,0.18925115545511692,0.16766780385095223
3,51,111,C598,C525,15,1,8.498909851902651,225.64412326152168,200.07499318243796,240.30646574382337,222.83143507972665,0.588917549779269,0.40042758694134256,0.020006374494418375,0.6834526557621209,0.011355818632956302,0.30479270187616353,0.26777287152895324,0.5856219688999433,0.4333964874559943,0.15636522595055424,0.13404709808364013,0.030373961149858002,0.10666721069887475,0.37622182773871365,0.20650887849409136,0.2004203735666129,0.21829888977875928,0.2136899239665041,0.16436138452857288,0.0981658544202853,0.10539082986140726,0.11061905173082652,0.40578916535079557,0.3944013631664577,1.0,0.2315722975487218,0.1645891837938073,0.3511417828752492,0.38460708234575286,0.9344022278333327,0.10428570703624396,0.20974649814928842,0.03058276656299138,0.34384976595938144,0.0,0.13775057087840684,0.702455651150579,0.9614025970045948,0.018301232036700903,0.30376671982023734,0.3549370276354141,0.24066978128763056,0.28343907344662495,0.15382402748914448,0.10855486986016975,0.22507184855704873,0.02514271190833503,0.03619616239513586,0.17598069632005417
4,8,114,C592,C525,8,4,19.19619196624993,108.10118460019743,221.12158604804213,182.0,342.0,0.5878934746923073,0.053464181147326845,0.02204123901673319,0.12128705807744282,0.06452320408959233,0.10629948177347634,0.051848575650234076,0.32488001152090684,0.12067556919463741,0.2025105745505684,0.3391156222422235,0.025504263710136622,0.02849385267171364,0.059493737239157095,0.04425450919888265,0.04092817100022809,0.0749680579814693,0.04451387073838708,0.02166495936757757,0.05785473539958856,0.05183467680772035,0.056829585019881536,0.03694858211392992,0.0807523079817431,0.6795129675328146,0.23509417586607376,0.0,0.05960837248119899,0.6844442440086378,0.2306771253031805,0.042847057021511425,0.1011594528588268,0.17314872295142963,0.2422423398083366,0.030876286481723726,0.32540829635600216,0.4680840992364104,0.04198666319055241,0.2102978306721054,1.0,0.849263894824932,0.11820954283092978,0.09605037669756356,0.1472308444473283,0.16922337641844187,0.5006367972985766,0.11580984017189476,0.06725232889816053,0.015345752225427011
5,65,148,C598,C531,29,18,15.476135592988877,477.0880855397149,281.98031228784794,487.06315789473683,309.2438596491228,0.5568595566612476,0.251180575097899,0.03433448986376373,0.28813562077025906,0.09982378866664979,0.24621017576407644,0.26261693059052027,0.381534219664491,0.19649879973407894,0.307831184578066,0.1323998518823114,0.04510513588437817,0.04776754794178987,0.26443180965565105,0.058928901819692285,0.29675600872243985,0.07531661520541433,0.1502597855707067,0.10360170437453577,0.05109296591855661,0.05670515736469357,0.06945637877705196,0.195039253833396,0.09224048716026924,1.0,0.22289805500864535,0.09547433870795043,0.22368399652629978,0.2325121098467317,0.6232556067365413,0.035009710042153065,0.0992480935241151,0.013418038075212732,0.16430837149664546,0.0,0.10991611183093027,0.26405753713614466,0.5444226247043525,0.08959443594170252,0.11943519743043055,0.3982244341508482,0.29976932152013286,0.28632379855806456,0.09184137628992838,0.09016292964164276,0.11775075026580725,0.013738684093162644,0.15075934669924151,0.1440008756415028
6,59,0,C598,C444,23,0,0.0,304.3420454545454,238.62556818181818,379.0,269.33431661750245,0.5304427376798889,0.07708189870782295,0.056039760514347156,0.17564626596071148,0.23169438248067578,0.015149055586770826,0.11416010465716854,0.1730039330691047,0.0,0.3783673000085943,0.21115126540168955,0.3003104656871876,0.10388866100630204,0.08249353811395993,0.21372548509159797,0.17245645331664367,0.10199793862280568,0.06845933552941934,0.23692260526202943,0.19408031728813913,0.10938743670180337,0.16542648781046057,0.2570591913582643,0.03914129690578343,0.50714383893184,0.6155306237173436,0.15746290562187776,0.056382910935590703,0.5246407242145282,0.12381501086627818,0.21473987130973107,0.2451025087441105,0.1849641806651303,0.6086044313895017,0.12691994457918004,0.35987757582448765,0.3177547657281878,0.27755590916046463,0.24698878410314198,0.4175421986844091,1.0,0.21527713695271533,0.06300496648191604,0.13075171698314142,0.26893895867665724,0.7232000135946272,0.2069666581020217,0.18305550733279655,0.1710323432358975
7,45,97,C598,C519,9,3,22.1145736174158,472.95922397769516,103.87906598513011,318.0,54.7341650671785,0.5114003388160379,0.21957351330544758,0.12898151316409992,0.13001120144043207,0.1654341961643312,0.17057316065272343,0.025421816992587894,0.16443555424803374,0.0795088328007668,0.1345300167107724,0.13872449547892887,0.19233946641838698,0.17620033637750418,0.1663945801920434,0.12292511616509456,0.10062359256824026,0.12058786759600452,0.18949928942888628,0.17017955524726586,0.2172153670948131,0.0,0.16634011178839692,0.1834481407712958,0.15331069548036702,1.0,0.2981476508957588,0.10206985957885038,0.16232971596116383,0.24538331944721545,0.1665106885215491,0.12067162565496477,0.0827039375524492,0.563925046281854,0.9143878530518436,0.2219288055559036,0.8294844530380798,0.2112386676867013,0.21536155373695864,0.14377108178988685,0.4138985558031693,0.6259235745296899,0.09951333248253172,0.05843492619684242,0.027748865645182946,0.19276106880613722,0.14140097772346247,0.13965939580701206,0.17966418602335976,0.14001943513282297
8,0,39,C592,C470,0,9,22.599581539833014,125.41301893891885,105.55775743133074,269.8180952380952,254.0,0.45356207180003566,0.10035839664351727,0.0,0.07724435247020428,0.06355751928695726,0.08762316472138065,0.08836901285614727,0.12678218643810388,0.07690383656061085,0.3892872292598903,0.11340593434087154,0.045829875052742775,0.10162071940715532,0.08176693338685492,0.19424731670621803,0.12456023796901623,0.09713878074226101,0.20504573658336,0.08834728604606853,0.12156970293977326,0.1226280259355378,0.06328452793538025,0.11640621141379442,0.16370978489831575,0.2769871375528288,0.35724093951912705,0.42152617618780225,0.1339430829546226,0.45604811187309435,0.577516928731735,0.10317653784677669,0.9247998198206179,0.14204116767430255,0.35186575315904633,0.13281693741695785,0.35900894635217767,0.44920663004052114,0.03948909981444854,0.13699089892836847,1.0,0.3244252156885402,0.0688110806278945,0.14893451199994176,0.09219643625539653,0.1033444599112061,0.009355491681381202,0.08949988763768565,0.08330917220582193,0.1513125170073982
9,35,159,C592,C537,35,9,16.342216938174982,277.63005339435546,254.83142639206713,328.613599742185,299.9448920399613,0.4266329248123672,0.056981842222917356,0.048981972402988294,0.050993363673295065,0.03338033703609574,0.049294869857632574,0.0741366137174216,0.6537022367910085,0.09239336956992494,0.6757572074988745,0.07752952555148927,0.056833748744057035,0.05965206894355521,0.04092449807958969,0.22838617768134506,0.01931427280295426,0.2946237809299362,0.7139880673648664,0.3520622685259309,0.13306310682366823,0.0852429684934471,0.16563403455782752,0.15777533069175825,0.11994736832105343,0.5474274248359967,0.43021872871879685,0.2336183849758544,0.48844233170159274,0.31635845725311734,0.5352077899463591,0.09630230925367876,0.0642830271111393,0.21789019987667155,0.19466642518394425,0.10986090368447007,0.639682242394753,0.33342596083532106,0.3586624443426935,0.032512072786857325,0.5474395625269979,1.0,0.0720290187139407,0.26025292253968346,0.06482325036113325,0.21897166932220008,0.12429828490652314,0.31131501959216545,0.0,0.03422135635533316
10,3,33,C592,C470,3,3,7.708950702525724,180.1671503192107,189.8044109112014,308.73156532988355,330.0,0.4192862400055608,0.09668521005375465,0.029539873031758146,0.07298544760001571,0.060509299874075946,0.09837075522702586,0.033980619415944435,0.07972896121525956,0.07296436108888929,0.8148855201095464,0.039593144380322104,0.05646957697582545,0.041091099951089685,0.05927690499835129,0.03243477894202564,0.004781017820464742,0.03591124341211955,0.0566647590777094,0.0654618186433263,0.03026751819085854,0.07034906157964806,0.0,0.060243512424708004,0.0813775912034936,0.28112795560172843,0.1539255290269639,0.06625689653800233,0.10230773129511905,0.07193178511882034,0.04932334504700266,0.028391631632599112,0.10615273307463086,0.1016914060245881,0.5325904500932426,0.06418431654684267,0.13297470097840292,0.18761133371171615,0.08238539163020132,0.06452430337689394,0.17404071707231436,1.0,0.04932778499698605,0.08771932100562974,0.07942864553662583,0.02771314228508072,0.07440142558020481,0.045158580581393944,0.11328401529750702,0.05142400859012947
11,15,136,C592,C531,15,6,17.184062367453816,131.76774969915763,28.915764139590856,194.88038793103448,179.0,0.3826560770175718,0.08506990188044251,0.0724578076950094,0.3733668813504882,0.08810656096405937,0.13926431824391997,0.17214396613096772,0.07393169827482497,0.22113494915947868,0.10688058252878153,0.1123189882112856,0.06924634845233396,0.18560934799793594,0.08769612495321671,0.3193139882618206,0.0,0.2613371042645907,0.10972767583017139,0.14403059551124778,0.25729602821423914,0.11441110501343289,0.37498179055291725,0.2683493005178985,0.2144253346227428,0.27454364811806314,0.9456769370007085,1.0,0.3872926361637479,0.9345528550750734,0.8475566466818739,0.0780891160290969,0.13139694397806573,0.15723540175831188,0.3433364639600872,0.06719019649757109,0.7513175916450103,0.6365169485618578,0.3532702817435558,0.27373326784063734,0.6652526689596293,0.7331596770585719,0.1784233003430975,0.3685137545741624,0.2073599840508456,0.3446154131742751,0.09081784143916635,0.5236736178985111,0.24300813630524218,0.1945801432312553
